id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Source_Dest
251,B6,371,LGA,FLL,5,360,174,0,LGA-FLL
252,B6,442,TPA,BOS,2,360,167,0,TPA-BOS
253,B6,45,ROC,JFK,4,360,83,0,ROC-JFK
254,B6,52,MCO,JFK,3,360,141,0,MCO-JFK
255,B6,68,FLL,JFK,3,360,160,1,FLL-JFK
256,B6,701,JFK,SJU,7,360,218,0,JFK-SJU
257,CO,1045,CLE,IAH,6,360,190,0,CLE-IAH
258,CO,1428,CLT,IAH,5,360,180,0,CLT-IAH
259,CO,1617,MCI,IAH,2,360,118,1,MCI-IAH
260,CO,1810,SMF,IAH,5,360,220,0,SMF-IAH
261,CO,1815,OMA,IAH,1,360,138,1,OMA-IAH
262,CO,308,PDX,IAH,7,360,238,0,PDX-IAH
263,CO,469,SFO,IAH,5,360,225,1,SFO-IAH
264,CO,759,DCA,IAH,6,360,206,0,DCA-IAH
265,CO,89,IAH,EWR,5,360,200,0,IAH-EWR
266,DL,1084,ANC,MSP,6,360,326,0,ANC-MSP
267,DL,1106,SEA,SLC,3,360,120,0,SEA-SLC
268,DL,1157,CMH,ATL,1,360,110,0,CMH-ATL
269,DL,1181,RSW,ATL,2,360,110,0,RSW-ATL
270,DL,1249,PWM,ATL,5,360,192,0,PWM-ATL
271,DL,1297,JFK,ATL,7,360,168,0,JFK-ATL
272,DL,1301,IND,ATL,6,360,105,0,IND-ATL
273,DL,1371,BOS,LGA,7,360,68,0,BOS-LGA
274,DL,1401,BOS,ATL,4,360,190,0,BOS-ATL
275,DL,1445,DCA,DTW,7,360,102,0,DCA-DTW
276,DL,1447,LGA,ATL,7,360,167,0,LGA-ATL
277,DL,1504,MCI,DTW,7,360,118,0,MCI-DTW
278,DL,1602,LAS,ATL,3,360,223,0,LAS-ATL
279,DL,1625,BWI,ATL,6,360,120,0,BWI-ATL
280,DL,1767,CLT,DTW,7,360,115,0,CLT-DTW
281,DL,1831,PDX,SLC,5,360,107,1,PDX-SLC
282,DL,1889,CVG,ATL,2,360,103,0,CVG-ATL
283,DL,1949,RDU,ATL,5,360,87,0,RDU-ATL
284,DL,2205,MDW,ATL,7,360,120,0,MDW-ATL
285,DL,2280,STL,ATL,1,360,110,1,STL-ATL
286,DL,2437,CLT,ATL,4,360,82,1,CLT-ATL
287,DL,2480,SEA,DTW,2,360,253,0,SEA-DTW
288,DL,2525,BOS,MSP,7,360,210,1,BOS-MSP
289,DL,2530,BZN,MSP,6,360,138,0,BZN-MSP
290,DL,2581,SDF,ATL,1,360,84,0,SDF-ATL
291,DL,2806,SFO,MSP,2,360,222,0,SFO-MSP
292,DL,2816,LAS,DTW,1,360,233,0,LAS-DTW
293,DL,725,SFO,SLC,5,360,113,0,SFO-SLC
294,EV,4942,JAX,DCA,7,360,112,0,JAX-DCA
295,EV,4946,ABY,ATL,2,360,50,0,ABY-ATL
296,EV,4979,TRI,ATL,2,360,67,0,TRI-ATL
297,EV,4998,XNA,ATL,1,360,119,0,XNA-ATL
298,EV,5011,ROA,DTW,6,360,98,0,ROA-DTW
299,EV,5027,MLI,ATL,6,360,130,0,MLI-ATL
300,EV,5079,LYH,ATL,7,360,85,0,LYH-ATL
301,EV,5141,EVV,ATL,3,360,80,0,EVV-ATL
302,EV,5169,HPN,ATL,1,360,151,0,HPN-ATL
303,EV,5265,SYR,DTW,2,360,115,0,SYR-DTW
304,EV,5275,FAY,ATL,4,360,86,0,FAY-ATL
305,EV,5313,EWN,ATL,2,360,98,0,EWN-ATL
306,EV,5316,CSG,ATL,4,360,44,0,CSG-ATL
307,EV,5366,SGF,ATL,3,360,119,0,SGF-ATL
308,EV,5374,CAK,ATL,7,360,109,1,CAK-ATL
309,EV,5387,GPT,ATL,7,360,80,1,GPT-ATL
310,EV,5435,MLU,ATL,4,360,98,1,MLU-ATL
311,EV,5460,MOB,ATL,3,360,77,1,MOB-ATL
312,EV,5479,LFT,ATL,1,360,120,0,LFT-ATL
313,EV,5491,OAJ,ATL,7,360,98,0,OAJ-ATL
314,EV,5507,CHO,ATL,3,360,102,0,CHO-ATL
315,EV,5564,ILM,ATL,4,360,88,1,ILM-ATL
316,EV,5605,ROA,ATL,7,360,86,0,ROA-ATL
317,EV,7070,ROA,ORD,5,360,116,0,ROA-ORD
318,EV,7075,DTW,IAD,6,360,90,1,DTW-IAD
319,EV,7086,DAY,IAD,1,360,90,0,DAY-IAD
320,EV,7097,CMH,ORD,3,360,82,0,CMH-ORD
321,EV,7100,CAE,ORD,2,360,128,1,CAE-ORD
322,EV,7116,JFK,IAD,2,360,81,0,JFK-IAD
323,EV,7323,BMI,ATL,4,360,115,0,BMI-ATL
324,EV,7378,DEN,CVG,7,360,158,0,DEN-CVG
325,F9,225,MDW,DEN,2,360,157,1,MDW-DEN
326,F9,377,BOS,MKE,5,360,165,1,BOS-MKE
327,FL,143,DTW,ATL,3,360,125,0,DTW-ATL
328,FL,155,IND,BWI,3,360,105,0,IND-BWI
329,FL,183,DCA,ATL,3,360,123,0,DCA-ATL
330,FL,200,CAK,ATL,2,360,120,0,CAK-ATL
331,FL,254,FNT,ATL,1,360,134,0,FNT-ATL
332,FL,281,BOS,ATL,6,360,180,0,BOS-ATL
333,FL,359,LGA,ATL,1,360,161,0,LGA-ATL
334,FL,429,PNS,ATL,3,360,69,0,PNS-ATL
335,FL,557,BUF,ATL,2,360,135,0,BUF-ATL
336,FL,630,DAY,BWI,5,360,93,0,DAY-BWI
337,FL,726,DFW,MKE,6,360,135,0,DFW-MKE
338,FL,738,MSP,MKE,6,360,70,0,MSP-MKE
339,FL,84,FLL,ATL,7,360,113,0,FLL-ATL
340,FL,901,PHF,ATL,3,360,123,0,PHF-ATL
341,FL,912,MKE,BWI,1,360,120,1,MKE-BWI
342,FL,942,ROC,BWI,4,360,83,0,ROC-BWI
343,FL,967,ACY,ATL,5,360,135,1,ACY-ATL
344,MQ,2731,CVG,DFW,2,360,165,0,CVG-DFW
345,MQ,2750,JAN,DFW,2,360,100,1,JAN-DFW
346,MQ,2963,CID,DFW,6,360,140,0,CID-DFW
347,MQ,3256,GRK,DFW,5,360,50,0,GRK-DFW
348,MQ,3265,HOU,DFW,3,360,70,0,HOU-DFW
349,MQ,3280,CRP,DFW,5,360,80,0,CRP-DFW
350,MQ,3325,DSM,DFW,4,360,130,0,DSM-DFW
351,MQ,3357,MOB,DFW,5,360,115,0,MOB-DFW
352,MQ,3372,BTR,DFW,7,360,90,0,BTR-DFW
353,MQ,3450,XNA,DFW,6,360,70,0,XNA-DFW
354,MQ,3512,MKE,DFW,4,360,165,0,MKE-DFW
355,MQ,3650,TYS,MIA,7,360,135,0,TYS-MIA
356,MQ,3736,ORD,EWR,5,360,120,1,ORD-EWR
357,MQ,3748,ORD,MSP,2,360,85,0,ORD-MSP
358,MQ,3768,EWR,ORD,6,360,165,0,EWR-ORD
359,MQ,3807,ORD,ATL,7,360,120,1,ORD-ATL
360,MQ,3853,ATL,ORD,2,360,115,0,ATL-ORD
361,MQ,3884,CLE,ORD,4,360,85,0,CLE-ORD
362,MQ,3908,CRW,ORD,6,360,105,0,CRW-ORD
363,MQ,3914,ICT,ORD,3,360,105,0,ICT-ORD
364,MQ,3939,BNA,ORD,2,360,105,0,BNA-ORD
365,MQ,4067,RIC,ORD,7,360,140,0,RIC-ORD
366,MQ,4114,PIT,ORD,5,360,105,1,PIT-ORD
367,MQ,4176,CMH,ORD,2,360,80,0,CMH-ORD
368,MQ,4223,ROC,ORD,7,360,125,0,ROC-ORD
369,MQ,4260,BWI,ORD,2,360,140,0,BWI-ORD
370,MQ,4275,MSN,ORD,6,360,55,0,MSN-ORD
371,MQ,4382,BOS,JFK,7,360,79,0,BOS-JFK
372,MQ,4420,BOS,LGA,5,360,80,0,BOS-LGA
373,MQ,4448,DCA,JFK,6,360,70,0,DCA-JFK
374,MQ,4581,CLT,LGA,4,360,110,1,CLT-LGA
375,MQ,4625,LGA,RDU,3,360,100,0,LGA-RDU
376,MQ,4629,RDU,LGA,1,360,95,0,RDU-LGA
377,MQ,4650,LGA,ATL,1,360,150,0,LGA-ATL
378,MQ,4697,DTW,LGA,2,360,100,0,DTW-LGA
379,OH,6341,RIC,DTW,3,360,125,0,RIC-DTW
380,OH,6357,BDL,DCA,1,360,84,0,BDL-DCA
381,OH,6379,BOS,JFK,7,360,88,0,BOS-JFK
382,OH,6401,HTS,CVG,4,360,53,0,HTS-CVG
383,OH,6560,ORD,JFK,1,360,133,0,ORD-JFK
384,OH,6655,OMA,MEM,1,360,114,0,OMA-MEM
385,OH,6668,CHS,LGA,5,360,118,0,CHS-LGA
386,OO,4611,SAT,SLC,5,360,175,0,SAT-SLC
387,OO,4662,ABQ,SLC,7,360,101,0,ABQ-SLC
388,OO,4676,BNA,MSP,5,360,144,0,BNA-MSP
389,OO,4765,LAS,LAX,6,360,75,0,LAS-LAX
390,OO,4802,DFW,SLC,6,360,168,1,DFW-SLC
391,OO,4888,COS,MSP,2,360,135,1,COS-MSP
392,OO,6245,MFR,SFO,3,360,81,0,MFR-SFO
393,OO,6285,MFR,DEN,6,360,155,1,MFR-DEN
394,OO,6300,FAT,LAX,7,360,59,0,FAT-LAX
395,OO,6330,ONT,SFO,4,360,85,0,ONT-SFO
396,OO,6345,PSC,SFO,5,360,125,0,PSC-SFO
397,OO,6359,BOI,SFO,6,360,112,1,BOI-SFO
398,OO,6399,ORD,MCI,4,360,88,1,ORD-MCI
399,OO,6405,PDX,SFO,6,360,105,0,PDX-SFO
400,OO,6434,SBP,LAX,3,360,62,0,SBP-LAX
401,OO,6471,ABQ,LAX,2,360,121,0,ABQ-LAX
402,OO,6506,ELP,LAX,4,360,137,0,ELP-LAX
403,OO,6512,CLD,LAX,4,360,40,1,CLD-LAX
404,OO,6586,PSP,DEN,2,360,131,0,PSP-DEN
405,OO,6612,SLC,DEN,6,360,93,0,SLC-DEN
406,OO,6682,SBA,DEN,5,360,142,0,SBA-DEN
407,OO,6684,MEM,ORD,2,360,110,0,MEM-ORD
408,OO,6732,MRY,DEN,3,360,146,0,MRY-DEN
409,OO,6743,ATW,ORD,5,360,55,0,ATW-ORD
410,OO,6766,GEG,SFO,5,360,136,1,GEG-SFO
411,OO,6820,RDD,SFO,3,360,78,0,RDD-SFO
412,OO,6836,PAH,ORD,5,360,78,1,PAH-ORD
413,OO,6893,ACV,SFO,6,360,82,1,ACV-SFO
414,OO,6918,CMX,ORD,4,360,82,0,CMX-ORD
415,OO,6930,ORD,TYS,3,360,87,1,ORD-TYS
416,OO,6936,SPI,ORD,3,360,60,0,SPI-ORD
417,OO,6948,COS,ORD,5,360,146,0,COS-ORD
418,OO,6949,EUG,DEN,4,360,155,0,EUG-DEN
419,OO,6975,DFW,ORD,1,360,139,0,DFW-ORD
420,OO,6997,MKE,ORD,1,360,44,1,MKE-ORD
421,OO,7006,EUG,PDX,5,360,41,0,EUG-PDX
422,OO,7008,CIC,SFO,1,360,65,0,CIC-SFO
423,OO,7049,SEA,PDX,5,360,48,0,SEA-PDX
424,OO,7763,PIH,SLC,4,360,48,0,PIH-SLC
425,OO,7768,SGU,SLC,6,360,73,1,SGU-SLC
426,OO,7799,COD,SLC,7,360,89,0,COD-SLC
427,UA,189,BWI,ORD,4,360,135,0,BWI-ORD
428,UA,18,LAX,DEN,2,360,146,0,LAX-DEN
429,UA,201,BOS,IAD,7,360,103,0,BOS-IAD
430,UA,203,BOS,ORD,2,360,171,0,BOS-ORD
431,UA,226,SFO,BOS,6,360,342,0,SFO-BOS
432,UA,234,OMA,ORD,1,360,96,1,OMA-ORD
433,UA,257,JAX,ORD,4,360,156,0,JAX-ORD
434,UA,303,JFK,SFO,5,360,404,0,JFK-SFO
435,UA,32,PDX,DEN,5,360,146,0,PDX-DEN
436,UA,337,PHL,ORD,2,360,137,0,PHL-ORD
437,UA,376,ORD,PHL,5,360,125,0,ORD-PHL
438,UA,410,SMF,DEN,5,360,144,0,SMF-DEN
439,UA,468,SEA,SFO,7,360,130,0,SEA-SFO
440,UA,475,CLT,ORD,3,360,133,1,CLT-ORD
441,UA,494,DSM,ORD,5,360,80,0,DSM-ORD
442,UA,506,SFO,PHX,7,360,120,0,SFO-PHX
443,UA,510,LAS,SFO,5,360,95,0,LAS-SFO
444,UA,520,MSP,ORD,4,360,84,0,MSP-ORD
445,UA,532,DEN,ORD,2,360,141,0,DEN-ORD
446,UA,650,BDL,IAD,2,360,94,0,BDL-IAD
447,UA,668,ORD,LGA,1,360,127,1,ORD-LGA
448,UA,669,LGA,ORD,3,360,150,0,LGA-ORD
449,UA,705,IAD,ORD,7,360,131,0,IAD-ORD
450,UA,707,ORD,DEN,1,360,160,0,ORD-DEN
451,UA,736,SFO,LAS,5,360,98,0,SFO-LAS
452,UA,740,OAK,DEN,5,360,146,0,OAK-DEN
453,UA,90,LAX,SFO,3,360,89,0,LAX-SFO
454,UA,922,ORD,IAD,3,360,108,0,ORD-IAD
455,US,1050,RDU,CLT,6,360,57,0,RDU-CLT
456,US,1262,MIA,PHL,7,360,169,0,MIA-PHL
457,US,1267,LGA,PHL,7,360,57,0,LGA-PHL
458,US,1296,STL,CLT,4,360,113,0,STL-CLT
459,US,1440,BNA,CLT,1,360,74,0,BNA-CLT
460,US,1772,MHT,CLT,1,360,152,0,MHT-CLT
461,US,1997,ORD,CLT,2,360,118,0,ORD-CLT
462,US,2021,BOS,DCA,6,360,96,0,BOS-DCA
463,US,2114,LGA,BOS,3,360,62,1,LGA-BOS
464,US,2115,BOS,LGA,1,360,70,0,BOS-LGA
465,US,2158,DCA,LGA,7,360,60,0,DCA-LGA
466,US,2161,LGA,DCA,2,360,59,0,LGA-DCA
467,US,270,IAH,PHX,3,360,172,0,IAH-PHX
468,US,56,ORD,PHL,3,360,119,0,ORD-PHL
469,US,578,SFO,PHX,4,360,111,0,SFO-PHX
470,US,595,MCI,PHX,2,360,174,0,MCI-PHX
471,US,652,IND,PHX,4,360,235,0,IND-PHX
472,US,86,OMA,PHX,4,360,175,1,OMA-PHX
473,US,952,FLL,PHL,6,360,157,0,FLL-PHL
474,US,985,MSY,CLT,2,360,108,1,MSY-CLT
475,WN,1067,OAK,SAN,1,360,85,1,OAK-SAN
476,WN,109,MSY,DEN,7,360,180,0,MSY-DEN
477,WN,1289,GEG,SEA,3,360,70,0,GEG-SEA
478,WN,1357,SMF,ONT,4,360,80,0,SMF-ONT
479,WN,1851,ONT,OAK,4,360,80,1,ONT-OAK
480,WN,1929,LAX,DEN,7,360,135,0,LAX-DEN
481,WN,2529,IND,DEN,4,360,185,1,IND-DEN
482,WN,2643,SMF,LAX,6,360,80,1,SMF-LAX
483,WN,2891,MDW,IAD,2,360,105,0,MDW-IAD
484,WN,3061,LGA,MDW,4,360,150,0,LGA-MDW
485,WN,367,MDW,BNA,3,360,85,1,MDW-BNA
486,WN,3,LIT,DAL,7,360,70,0,LIT-DAL
487,WN,406,SEA,LAS,5,360,140,1,SEA-LAS
488,WN,425,BOS,MDW,6,360,175,0,BOS-MDW
489,WN,647,PHX,DEN,2,360,105,1,PHX-DEN
490,WN,702,MDW,LAS,1,360,245,1,MDW-LAS
491,WN,735,IAD,DEN,2,360,240,0,IAD-DEN
492,WN,748,SMF,DEN,4,360,145,1,SMF-DEN
493,WN,799,LAX,SFO,1,360,80,0,LAX-SFO
494,WN,944,OAK,ONT,2,360,75,1,OAK-ONT
495,XE,2143,GSP,IAH,6,360,160,1,GSP-IAH
496,XE,2231,JAN,IAH,4,360,77,1,JAN-IAH
497,XE,2384,SHV,IAH,7,360,55,0,SHV-IAH
498,XE,2485,ORF,IAH,1,360,201,0,ORF-IAH
499,XE,2614,CMH,EWR,1,360,97,0,CMH-EWR
500,XE,2644,GPT,IAH,2,360,81,1,GPT-IAH